CTR Code,order date,region,country,promotion_category,promotion_theme,product,sku,part_no,position,make_model,qty,unit_price,amount,currency,target,sell_type,customer
CE0264,2025-01-08,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0264,CE0264,OUTER,ISUZU,20,4.02,80.39999999999999,USD,B2B,SELL-IN,GP
CR0277,2025-01-10,ASIA,필리핀,Trade promotion,CHOICE_KIT,INNER TIE ROD ASSY,CR0277,CR0277,INNER,HYUNDAI,1600,5.49,8784.0,USD,B2B,SELL-IN,CHUAN LAM
CR0277,2025-01-10,ASIA,필리핀,Trade promotion,CHOICE_KIT,INNER TIE ROD ASSY,CR0277,CR0277,INNER,HYUNDAI,900,5.49,4941.0,USD,B2B,SELL-IN,CHUAN LAM
CR0329,2025-01-10,ASIA,필리핀,Trade promotion,CHOICE_KIT,INNER TIE ROD ASSY,CR0329,CR0329,INNER,KIA,50,4.42,221.0,USD,B2B,SELL-IN,CHUAN LAM
CR0329,2025-01-10,ASIA,필리핀,Trade promotion,CHOICE_KIT,INNER TIE ROD ASSY,CR0329,CR0329,INNER,KIA,30,4.42,132.6,USD,B2B,SELL-IN,CHUAN LAM
CE0658,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0658,CE0658,OUTER,TOYOTA,52,3.52,183.04,USD,B2B,SELL-IN,GP
CE0812,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0812,CE0812,OUTER,TOYOTA,24,5.69,136.56,USD,B2B,SELL-IN,GP
CL0086,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0086,CL0086,,BUICK,10,3.22,32.2,USD,B2B,SELL-IN,GP
CL0220L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0220L,CL0220L,,HONDA,10,3.86,38.6,USD,B2B,SELL-IN,GP
CE0811,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0811,CE0811,OUTER,TOYOTA,24,5.69,136.56,USD,B2B,SELL-IN,GP
CL0282R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0282R,CL0282R,,HYUNDAI,20,3.16,63.2,USD,B2B,SELL-IN,GP
CB0166,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0166,CB0166,,OPEL,30,4.14,124.19999999999999,USD,B2B,SELL-IN,GP
CB0402R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0402R,CB0402R,,TOYOTA,24,5.8,139.2,USD,B2B,SELL-IN,GP
CE0201L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0201L,CE0201L,OUTER,HONDA,12,5.84,70.08,USD,B2B,SELL-IN,GP
CL0221R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0221R,CL0221R,,HONDA,20,3.87,77.4,USD,B2B,SELL-IN,GP
CL0207R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0207R,CL0207R,,HONDA,10,3.42,34.2,USD,B2B,SELL-IN,GP
CB0274,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0274,CB0274,,FORD,30,3.62,108.60000000000001,USD,B2B,SELL-IN,GP
CL0158,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0158,CL0158,,HONDA,10,3.48,34.8,USD,B2B,SELL-IN,GP
CE0804,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0804,CE0804,OUTER,TOYOTA,18,6.79,122.22,USD,B2B,SELL-IN,GP
CL0207L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0207L,CL0207L,,HONDA,10,3.42,34.2,USD,B2B,SELL-IN,GP
CB0426,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0426,CB0426,,TOYOTA,24,6.09,146.16,USD,B2B,SELL-IN,GP
CB0390,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0390,CB0390,,TOYOTA,16,6.69,107.04,USD,B2B,SELL-IN,GP
