Date,Campaign Key,Campaign Name,Campaign Type,Activity Name,Region,Country,Customer_No,Buyer,Buyer_No,Marketing Spend,Status,Budget,Total Spend,Offline Spend,Content & Media Cost,Program Operation Cost,Inventory Production Cost,Campaign Production Cost,Promotional Material Support Cost,Customer Marketing Support Cost,Incentive & Reward Cost,Digital Spend,Number of Offline Leads,Target Order Performance,Actual Order Performance,% of Target Order,Target Sales Performance,Actual Sales Performance,% of Target Sales,Number of Online Leads,Number of Contents,Impression,Reach,View,Engagement,Click,CPM,CPV,CTR,CPC,CPE,CPL
2021-04-12,PROMAT-2021,Promotional Materials,Material Support,Promotional Materials,LATAM,Colombia,200317,BOLIVARIANA,130-003,고객인증패 제작 건 (LA),Complete,,128800,"128,800 ",,,,,"128,800 ",,,,,,,,,,,,,,,,,,,,,,,
2021-09-08,PROMAT-2021,Promotional Materials,Material Support,Promotional Materials,LATAM,Colombia,200316,F.E.IMP,130-170,(LA100) 중남미 고객 인증패 제작 건,Complete,,128800,"128,800 ",,,,,"257,600 ",,,,,,,,,,,,,,,,,,,,,,,
2021-09-08,PROMAT-2021,Promotional Materials,Material Support,Promotional Materials,LATAM,Colombia,200503,AUTOFRENOS,130-150,(LA100) 중남미 고객 인증패 제작 건,Complete,,128800,"128,800 ",,,,,"257,600 ",,,,,,,,,,,,,,,,,,,,,,,
2023-07-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,CIS 프로모션을 위한 판촉물 제작 (CIS 100),Complete,,5750000,"5,750,000 ",,,,"5,750,000 ",,,,,,,,,,,,,,,,,,,,,,,,
2023-08-17,TECHSM-2023,Tech Seminar,Local Marketing,Operations,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,cis techseminar xbanner 구매,Complete,,29000,"29,000 ",,,,"29,000 ",,,,,,,,,,,,,,,,,,,,,,,,
2023-08-17,TECHSM-2023,Tech Seminar,Local Marketing,Operations,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,CIS 현장이벤트 선물 지급용 포장박스 구매 건 (CIS 100),Complete,,143600,"143,600 ",,,,"143,600 ",,,,,,,,,,,,,,,,,,,,,,,,
2023-08-21,TECHSM-2023,Tech Seminar,Local Marketing,Operations,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,cis techseminar 현수막 구매,Complete,,17000,"17,000 ",,,,"17,000 ",,,,,,,,,,,,,,,,,,,,,,,,
2023-09-02,TECHSM-2023,Tech Seminar,Local Marketing,Operations,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,CIS Tech seminar 이벤트 배너 제작,Complete,,5273,"5,273 ",,,,"5,273 ",,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,TECHSM-2023,Tech Seminar,Local Marketing,Promotional Materials,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,KZ 브랜드 프로모션 이벤트 경품 구입 비용,Complete,,663508,"663,508 ",,,,"663,508 ",,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,TECHSM-2023,Tech Seminar,Local Marketing,Promotional Materials,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,알마티 세미나 이벤트 경품 기프트카드 구입비,Complete,,76597,"76,597 ",,,,"76,597 ",,,,,,,,,,,,,,,,,,,,,,,,
